Country,ISO,Currency,Currency_code,Status,Withdrawl_date,country_type,,
FRENCH POLYNESIA,PYF,CFP Franc,XPF,Active,ongoing,0,,
FRENCH SOUTHERN TERRITORIES,ATF,French Franc,FRF,Historic,2002-03,Dependency,,
FRENCH SOUTHERN TERRITORIES (THE),ATF,Euro,EUR,Active,ongoing,Dependency,,
GABON,GAB,CFA Franc BEAC,XAF,Active,ongoing,Sovereign country,,
GAMBIA (THE),GMB,Dalasi,GMD,Active,ongoing,Sovereign country,,
GEORGIA,GEO,Georgian Coupon,GEK,Historic,1995-10,Sovereign country,,
GEORGIA,GEO,Lari,GEL,Active,ongoing,Sovereign country,,
GEORGIA,GEO,Russian Ruble,RUR,Historic,1994-04,Sovereign country,,
GERMAN DEMOCRATIC REPUBLIC,DDR,Mark der DDR,DDM,Historic,1990-07 to 1990-09,0,,
GERMANY,DEU,Deutsche Mark,DEM,Historic,2002-03,Sovereign country,,
GERMANY,DEU,Euro,EUR,Active,ongoing,Sovereign country,,
GHANA,GHA,Cedi,GHC,Historic,2008-01,Sovereign country,,
GHANA,GHA,Ghana Cedi,GHP,Historic,2007-06,Sovereign country,,
GHANA,GHA,Ghana Cedi,GHS,Active,ongoing,Sovereign country,,
GIBRALTAR,GIB,Gibraltar Pound,GIP,Active,ongoing,0,,
GREECE,GRC,Euro,EUR,Active,ongoing,Sovereign country,,
GREECE,GRC,Drachma,GRD,Historic,2002-03,Sovereign country,,
GREENLAND,GRL,Danish Krone,DKK,Active,ongoing,Country,,
GRENADA,GRD,East Caribbean Dollar,XCD,Active,ongoing,0,,
GUADELOUPE,GLP,Euro,EUR,Active,ongoing,0,,
GUADELOUPE,GLP,French Franc,FRF,Historic,2002-03,0,,
GUAM,GUM,US Dollar,USD,Active,ongoing,0,,
GUATEMALA,GTM,Quetzal,GTQ,Active,ongoing,Sovereign country,,
GUERNSEY,GGY,Pound Sterling,GBP,Active,ongoing,0,,
GUINEA,GIN,Syli,GNE,Historic,1989-12,Sovereign country,,
GUINEA,GIN,Guinean Franc,GNF,Active,ongoing,Sovereign country,,
GUINEA,GIN,Syli,GNS,Historic,1986-02,Sovereign country,,
GUINEA-BISSAU,GNB,Guinea Escudo,GWE,Historic,1978 to 1981,Sovereign country,,
GUINEA-BISSAU,GNB,Guinea-Bissau Peso,GWP,Historic,1997-05,Sovereign country,,
GUINEA-BISSAU,GNB,CFA Franc BCEAO,XOF,Active,ongoing,Sovereign country,,
GUYANA,GUY,Guyana Dollar,GYD,Active,ongoing,Sovereign country,,
HAITI,HTI,Gourde,HTG,Active,ongoing,Sovereign country,,
HAITI,HTI,US Dollar,USD,Active,ongoing,Sovereign country,,
HEARD ISLAND AND McDONALD ISLANDS,HMD,Australian Dollar,AUD,Active,ongoing,0,,
HOLY SEE (THE),VAT,Euro,EUR,Active,ongoing,0,,
HOLY SEE (VATICAN CITY STATE),VAT,Italian Lira,ITL,Historic,2002-03,0,,
HONDURAS,HND,Lempira,HNL,Active,ongoing,Sovereign country,,
HONG KONG,HKG,Hong Kong Dollar,HKD,Active,ongoing,0,,
HUNGARY,HUN,Forint,HUF,Active,ongoing,Sovereign country,,
ICELAND,ISL,Old Krona,ISJ,Historic,1989 to 1990,Sovereign country,,
ICELAND,ISL,Iceland Krona,ISK,Active,ongoing,Sovereign country,,
INDIA,IND,Indian Rupee,INR,Active,ongoing,Sovereign country,,
INDONESIA,IDN,Rupiah,IDR,Active,ongoing,Sovereign country,,
INTERNATIONAL MONETARY FUND (IMF) ,0,SDR (Special Drawing Right),XDR,Active,ongoing,0,,
IRAN (ISLAMIC REPUBLIC OF),IRN,Iranian Rial,IRR,Active,ongoing,Sovereign country,,
IRAQ,IRQ,Iraqi Dinar,IQD,Active,ongoing,Sovereign country,,
IRELAND,IRL,Euro,EUR,Active,ongoing,Sovereign country,,
IRELAND,IRL,Irish Pound,IEP,Historic,2002-03,Sovereign country,,
ISLE OF MAN,IMN,Pound Sterling,GBP,Active,ongoing,0,,
ISRAEL,ISR,Pound,ILP,Historic,1978 to 1981,Sovereign country,,
ISRAEL,ISR,Old Shekel,ILR,Historic,1989 to 1990,Sovereign country,,
ISRAEL,ISR,New Israeli Sheqel,ILS,Active,ongoing,Sovereign country,,
ITALY,ITA,Euro,EUR,Active,ongoing,Sovereign country,,
ITALY,ITA,Italian Lira,ITL,Historic,2002-03,Sovereign country,,
JAMAICA,JAM,Jamaican Dollar,JMD,Active,ongoing,Sovereign country,,
JAPAN,JPN,Yen,JPY,Active,ongoing,Sovereign country,,
JERSEY,JEY,Pound Sterling,GBP,Active,ongoing,0,,
JORDAN,JOR,Jordanian Dinar,JOD,Active,ongoing,Sovereign country,,
KAZAKHSTAN,KAZ,Tenge,KZT,Active,ongoing,Sovereign country,,
KAZAKHSTAN,KAZ,Russian Ruble,RUR,Historic,1994-05,Sovereign country,,
KENYA,KEN,Kenyan Shilling,KES,Active,ongoing,Sovereign country,,
KIRIBATI,KIR,Australian Dollar,AUD,Active,ongoing,0,,
KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF),PRK,North Korean Won,KPW,Active,ongoing,Sovereign country,,
KOREA (THE REPUBLIC OF),KOR,Won,KRW,Active,ongoing,Sovereign country,,
KUWAIT,KWT,Kuwaiti Dinar,KWD,Active,ongoing,Sovereign country,,
KYRGYZSTAN,KGZ,Som,KGS,Active,ongoing,Sovereign country,,
KYRGYZSTAN,KGZ,Russian Ruble,RUR,Historic,1993-01,Sovereign country,,
LAO,LAO,Pathet Lao Kip,LAJ,Historic,1979-12,Sovereign country,,
LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE),LAO,Lao Kip,LAK,Active,ongoing,Sovereign country,,
LATVIA,LVA,Euro,EUR,Active,ongoing,Sovereign country,,
LATVIA,LVA,Latvian Lats,LVL,Historic,2014-01,Sovereign country,,
LATVIA,LVA,Latvian Ruble,LVR,Historic,1994-12,Sovereign country,,
LEBANON,LBN,Lebanese Pound,LBP,Active,ongoing,Sovereign country,,
LESOTHO,LSO,Loti,LSL,Active,ongoing,Sovereign country,,
LESOTHO,LSO,Loti,LSM,Historic,1985-05,Sovereign country,,
LESOTHO,LSO,Financial Rand,ZAL,Historic,1995-03,Sovereign country,,
LESOTHO,LSO,Rand,ZAR,Active,ongoing,Sovereign country,,
LIBERIA,LBR,Liberian Dollar,LRD,Active,ongoing,Sovereign country,,
LIBYA,LBY,Libyan Dinar,LYD,Active,ongoing,Sovereign country,,
LIECHTENSTEIN,LIE,Swiss Franc,CHF,Active,ongoing,0,,
LITHUANIA,LTU,Euro,EUR,Active,ongoing,Sovereign country,,
LITHUANIA,LTU,Lithuanian Litas,LTL,Historic,2014-12,Sovereign country,,
LITHUANIA,LTU,Talonas,LTT,Historic,1993-07,Sovereign country,,
LUXEMBOURG,LUX,Euro,EUR,Active,ongoing,Sovereign country,,
LUXEMBOURG,LUX,Luxembourg Convertible Franc,LUC,Historic,1990-03,Sovereign country,,
LUXEMBOURG,LUX,Luxembourg Franc,LUF,Historic,2002-03,Sovereign country,,
LUXEMBOURG,LUX,Luxembourg Financial Franc,LUL,Historic,1990-03,Sovereign country,,
MACAO,MAC,Pataca,MOP,Active,ongoing,0,,
MADAGASCAR,MDG,Malagasy Ariary,MGA,Active,ongoing,Sovereign country,,
MADAGASCAR,MDG,Malagasy Franc,MGF,Historic,2004-12,Sovereign country,,
MALAWI,MWI,Malawi Kwacha,MWK,Active,ongoing,Sovereign country,,
MALAWI,MWI,Kwacha,MWK,Historic,2016-02,Sovereign country,,
MALAYSIA,MYS,Malaysian Ringgit,MYR,Active,ongoing,Sovereign country,,
MALDIVES,MDV,Maldive Rupee,MVQ,Historic,1989-12,0,,
MALDIVES,MDV,Rufiyaa,MVR,Active,ongoing,0,,
MALI,MLI,Mali Franc,MLF,Historic,1984-11,Sovereign country,,
MALI,MLI,CFA Franc BCEAO,XOF,Active,ongoing,Sovereign country,,
MALTA,MLT,Euro,EUR,Active,ongoing,0,,
MALTA,MLT,Maltese Lira,MTL,Historic,2008-01,0,,
MALTA,MLT,Maltese Pound,MTP,Historic,1983-06,0,,
MARSHALL ISLANDS (THE),MHL,US Dollar,USD,Active,ongoing,0,,
MARTINIQUE,MTQ,Euro,EUR,Active,ongoing,0,,
MARTINIQUE,MTQ,French Franc,FRF,Historic,2002-03,0,,
MAURITANIA,MRT,Ouguiya,MRO,Historic,2017-12,Sovereign country,,
MAURITANIA,MRT,Ouguiya,MRU,Active,ongoing,Sovereign country,,
MAURITIUS,MUS,Mauritius Rupee,MUR,Active,ongoing,0,,
MAYOTTE,MYT,Euro,EUR,Active,ongoing,0,,
MAYOTTE,MYT,French Franc,FRF,Historic,2002-03,0,,
MEMBER COUNTRIES OF THE AFRICAN DEVELOPMENT BANK GROUP,0,ADB Unit of Account,XUA,Active,ongoing,0,,
MEXICO,MEX,Mexican Peso,MXN,Active,ongoing,Sovereign country,,
MEXICO,MEX,Mexican Peso,MXP,Historic,1993-01,Sovereign country,,
MEXICO,MEX,Mexican Unidad de Inversion (UDI),MXV,Active,ongoing,Sovereign country,,
MICRONESIA (FEDERATED STATES OF),FSM,US Dollar,USD,Active,ongoing,0,,
MOLDOVA (THE REPUBLIC OF),MDA,Moldovan Leu,MDL,Active,ongoing,Sovereign country,,
"MOLDOVA, REPUBLIC OF",MDA,Russian Ruble,RUR,Historic,1993-12,Sovereign country,,
MONACO,MCO,Euro,EUR,Active,ongoing,0,,
MONACO,MCO,French Franc,FRF,Historic,2002-03,0,,
MONGOLIA,MNG,Tugrik,MNT,Active,ongoing,Sovereign country,,
MONTENEGRO,MNE,Euro,EUR,Active,ongoing,Sovereign country,,
MONTSERRAT,MSR,East Caribbean Dollar,XCD,Active,ongoing,0,,
MOROCCO,MAR,Moroccan Dirham,MAD,Active,ongoing,Sovereign country,,
MOZAMBIQUE,MOZ,Mozambique Escudo,MZE,Historic,1978 to 1981,Sovereign country,,
MOZAMBIQUE,MOZ,Mozambique Metical,MZM,Historic,2006-06,Sovereign country,,
MOZAMBIQUE,MOZ,Mozambique Metical,MZN,Active,ongoing,Sovereign country,,
MYANMAR,MMR,Kyat,MMK,Active,ongoing,Sovereign country,,
NAMIBIA,NAM,Namibia Dollar,NAD,Active,ongoing,Sovereign country,,
NAMIBIA,NAM,Rand,ZAR,Active,ongoing,Sovereign country,,
NAURU,NRU,Australian Dollar,AUD,Active,ongoing,0,,
NEPAL,NPL,Nepalese Rupee,NPR,Active,ongoing,Sovereign country,,
NETHERLANDS,NLD,Netherlands Guilder,NLG,Historic,2002-03,Country,,
NETHERLANDS (THE),NLD,Euro,EUR,Active,ongoing,Country,,
NETHERLANDS ANTILLES,ANT,Netherlands Antillean Guilder,ANG,Historic,2010-10,0,,
NEW CALEDONIA,NCL,CFP Franc,XPF,Active,ongoing,Dependency,,
NEW ZEALAND,NZL,New Zealand Dollar,NZD,Active,ongoing,Country,,
NICARAGUA,NIC,Cordoba,NIC,Historic,1990-10,Sovereign country,,
NICARAGUA,NIC,Cordoba Oro,NIO,Active,ongoing,Sovereign country,,
NIGER (THE),NER,CFA Franc BCEAO,XOF,Active,ongoing,Sovereign country,,
NIGERIA,NGA,Naira,NGN,Active,ongoing,Sovereign country,,
NIUE,NIU,New Zealand Dollar,NZD,Active,ongoing,0,,
NORFOLK ISLAND,NFK,Australian Dollar,AUD,Active,ongoing,0,,
NORTH MACEDONIA,MKD,Denar,MKD,Active,ongoing,Sovereign country,,
NORTHERN MARIANA ISLANDS (THE),MNP,US Dollar,USD,Active,ongoing,0,,
NORWAY,NOR,Norwegian Krone,NOK,Active,ongoing,Sovereign country,,
OMAN,OMN,Rial Omani,OMR,Active,ongoing,Sovereign country,,
